sn,cor,rt,zRT
1,1,0.135,-0.521233693
1,1,0.404,0.28969523
1,1,0.006,-0.910117824
1,1,0.13,-0.536306722
1,1,0.231,-0.23183155
1,1,0.268,-0.12029114
1,1,0.359,0.154037976
1,1,0.168,-0.421751706
1,1,0.232,-0.228816944
1,1,0.235,-0.219773127
1,1,0.301,-0.020809153
1,1,0.353,0.135950342
1,1,0.356,0.144994159
1,1,0.385,0.232417723
1,1,0.152,-0.469985397
1,1,0.136,-0.518219088
1,1,0.13,-0.536306722
1,1,0.201,-0.322269719
1,1,0.219,-0.268006817
1,1,0.232,-0.228816944
1,1,0.251,-0.171539436
1,1,0.275,-0.0991889
1,1,0.036,-0.819679654
1,1,0.21,-0.295138268
1,1,0.232,-0.228816944
1,1,0.088,-0.66292016
1,1,0.217,-0.274036029
1,1,0.07,-0.717183062
1,1,0.04,-0.807621231
1,1,0.088,-0.66292016
1,1,0.109,-0.599613441
1,1,0.936,1.893465444
1,1,0.485,0.533878289
1,1,0.386,0.235432329
1,1,0.47,0.488659204
1,1,0.252,-0.168524831
1,1,0.252,-0.168524831
1,1,0.187,-0.364474199
1,1,0.09,-0.656890948
1,1,0.191,-0.352415776
1,1,0.131,-0.533292116
1,1,0.103,-0.617701075
1,1,0.307,-0.002721519
1,1,0.251,-0.171539436
1,1,0.086,-0.668949371
1,1,0.251,-0.171539436
1,1,0.219,-0.268006817
1,1,0.267,-0.123305746
1,1,0.237,-0.213743916
1,1,0.272,-0.108232717
1,1,0.287,-0.063013632
1,1,0.292,-0.047940604
1,1,0.237,-0.213743916
1,1,0.241,-0.201685493
1,1,0.206,-0.307196691
1,1,0.32,0.036468355
1,1,0.326,0.054555989
1,1,0.291,-0.05095521
1,1,0.232,-0.228816944
1,1,0.272,-0.108232717
1,1,0.235,-0.219773127
1,1,0.186,-0.367488804
1,1,0.233,-0.225802338
1,1,0.131,-0.533292116
1,1,0.29,-0.053969815
1,1,0.226,-0.246904578
1,1,0.319,0.033453749
1,1,0.191,-0.352415776
1,1,0.303,-0.014779942
1,1,0.29,-0.053969815
1,1,0.509,0.606228825
1,1,0.231,-0.23183155
1,1,0.409,0.304768259
1,1,0.357,0.148008764
1,1,0.15,-0.476014608
1,1,0.402,0.283666019
1,1,0.358,0.15102337
1,1,0.22,-0.264992212
1,1,0.119,-0.569467384
1,1,0.14,-0.506160665
1,1,0.441,0.40123564
1,1,0.333,0.075658228
1,1,0.259,-0.147422591
1,1,0.028,-0.843796499
1,1,0.383,0.226388512
1,1,0.226,-0.246904578
1,1,0.189,-0.358444987
1,1,0.312,0.012351509
1,1,0.069,-0.720197667
1,1,0.237,-0.213743916
1,1,0.326,0.054555989
1,1,0.291,-0.05095521
1,1,0.292,-0.047940604
1,1,0.235,-0.219773127
1,1,0.003,-0.919161641
1,1,0.888,1.748764372
1,1,0.818,1.537741976
1,1,0.208,-0.30116748
1,1,0.193,-0.346386565
1,1,0.223,-0.255948395
1,1,0.236,-0.216758521
1,1,0.275,-0.0991889
1,1,0.14,-0.506160665
1,1,0.139,-0.509175271
1,1,0.349,0.123891919
1,1,0.289,-0.056984421
1,1,0.275,-0.0991889
1,1,0.241,-0.201685493
1,1,0.288,-0.059999027
1,1,0.253,-0.165510225
1,1,0.235,-0.219773127
1,1,0.157,-0.454912369
1,1,0.259,-0.147422591
1,1,0.42,0.337928921
1,1,0.208,-0.30116748
1,1,0.409,0.304768259
1,1,0.336,0.084702045
1,1,0.358,0.15102337
1,1,0.32,0.036468355
1,1,0.692,1.157901662
1,1,0.241,-0.201685493
1,1,0.352,0.132935736
1,1,0.47,0.488659204
1,1,0.257,-0.153451802
1,1,0.241,-0.201685493
1,1,0.174,-0.403664072
1,1,0.408,0.301753653
1,1,0.298,-0.02985297
1,1,0.353,0.135950342
1,1,0.257,-0.153451802
1,1,0.003,-0.919161641
1,1,0.123,-0.557408961
1,1,0.183,-0.376532621
1,1,0.05,-0.777475175
